简体中文(源),参考语言(英文),资源编码
"【%s】编制单的【%s】需要编制本期计划明细,请编制后再保存!",Current period plan details need to be prepared for [%s] preparation document's [%s]. Please prepare before saving.,P_YS_CTM_DRFT-BE_1587259736172527740
"【%s】编制单的下下期计划明细计划日期应在计划期间内,请修改后再保存!",The plan date in the period-after-next plan details of [%s] preparation document should be within the plan period. Please modify it before saving.,P_YS_CTM_DRFT-BE_1587259736172527776
"第%d行,未编制计划，请先编制！","In line %d, no plan has been prepared. Please prepare first.",P_YS_CTM_DRFT-BE_1587259736172527785
默认下拨比例总和必须为100%！,The total allocation proportion must be 100% by default.,P_YS_CTM_DRFT-FE_1589436434198036491
总比例已达100%！,The total proportion has reached 100%.,P_YS_CTM_DRFT-FE_1589436434198036503
下拨比例总和必须为100%！,The total allocation proportion must be 100%.,P_YS_CTM_DRFT-FE_1589436434198036572
贴现年利率%,Discount Annual Interest Rate %,P_YS_CTM_DRFT-MD_1528788996304928810
担保比例%,Guarantee Proportion %,P_YS_CTM_DRFT-MD_1531835004296888380
bankName,bankName,P_YS_CTM_DRFT-REPORT_1805523935442239596
质押率%,Pledge rate%,P_YS_CTM_DRFT-UI_1487927897217302933
质押率(%),Pledge rate (%),P_YS_CTM_DRFT-UI_1487927897217302936
创建调度任务失败：%s,Failed to create a scheduling task: %s,P_YS_CTM_FDTR-BE_1591839193520668956
状态%s，不可删除！,Status %s. Cannot delete.,P_YS_CTM_FDTR-BE_1591839193520669238
业务组织(value),Business Organization (value),P_YS_CTM_FDTR-UI_1590899566337065258
单据类型(value),Document Type (value),P_YS_CTM_FDTR-UI_1590899566337065516
启用状态(value),Enabled Status (value),P_YS_CTM_FDTR-UI_1590899566337065552
银行账号(value),Bank Account Number (value),P_YS_CTM_FDTR-UI_1590899566337067121
"单据[%s]已经删除,请刷新页面！",Doc [%s] has been deleted. Please refresh the page,P_YS_CTM_GRM-BE_0001457465
单据[%s]已经审核无法删除,Doc [%s] has been approved. Cannot delete,P_YS_CTM_GRM-BE_0001457487
单据审批状态【%s】，不可驳回！,Doc approval status [%s]. Cannot reject,P_YS_CTM_GRM-BE_0001457488
单据[%s]状态%s，不可撤回！,"Doc [%s], status %s. Cannot withdraw",P_YS_CTM_GRM-BE_0001457498
单据审批状态【%s】，不可审批！,Doc approval status [%s]. Cannot approve,P_YS_CTM_GRM-BE_0001457520
状态%s，不可重复提交！,Status %s. Cannot submit again,P_YS_CTM_GRM-BE_0001457543
状态%s，不可撤回！,Status %s. Cannot withdraw,P_YS_CTM_GRM-BE_0001457546
共[%s]条数据；[%s]条启用成功；[%s]条启用失败,Total data: [%s]; enabled successfully: [%s]; failed: [%s],P_YS_CTM_GRM-BE_0001473550
审批状态【%s】，不可驳回！,Approval status [%s]. Cannot reject,P_YS_CTM_GRM-BE_0001502448
审批状态【%s】，不可撤回！,The approval status is [%s]. Cannot withdraw,P_YS_CTM_GRM-BE_0001562951
单号：【%s】在系统中不存在，请检查后再操作！,Document No. [%s] does not exist in the system. Please check before operating,P_YS_CTM_GRM-BE_1734345435313602567
单号：【%s】在系统中不存在，请检查后提交,Document No. [%s] does not exist in the system. Please check before submitting,P_YS_CTM_GRM-BE_1734345435313602585
抵(质)押率%,Mortgage (Pledge) Rate (%),P_YS_CTM_GRM-UI_0001455573
抵押率（%）,Mortgage Rate (%),P_YS_CTM_GRM-UI_0001455579
质押率（%）,Pledge Rate (%),P_YS_CTM_GRM-UI_0001455734
动拨比例(%),Obsolete,P_YS_CTM_LCM-UI_1514351747189965090
状态%s，不可审批！,Status %s. Cannot approve,P_YS_CTM_LGM-BE_0001387213
"单据%s,状态%s,不可审核!","Doc %s, status %s. Cannot approve",P_YS_CTM_LGM-BE_0001387221
状态%s，不可撤销驳回！,Status %s. Cannot cancel rejection.,P_YS_CTM_LGM-BE_0001387222
单据状态为[%s]，无法删除！,Doc status is [%s]. Cannot delete it,P_YS_CTM_LGM-BE_0001387229
"单据%s,状态%s,不可重复提交!","Doc %s, status %s. Cannot submit again",P_YS_CTM_LGM-BE_0001387238
单据[%s]数据无效，请刷新后重试,The data of Doc [%s] is invalid. Please refresh and try again,P_YS_CTM_LGM-BE_0001387240
"单据[%s],状态[%s],不可撤回!","Doc [%s], status [%s]. Cannot withdraw",P_YS_CTM_LGM-BE_0001387241
，单据状态为[%s]，无法删除！,", Doc status is [%s]. Cannot delete it",P_YS_CTM_LGM-BE_0001387246
"单据%s,状态%s,不可撤销!","Doc %s, status %s. Cannot withdraw",P_YS_CTM_LGM-BE_0001387255
"单据%s,状态%s,不可撤回!","Doc %s, status %s. Cannot withdraw",P_YS_CTM_LGM-BE_0001387264
状态%s，不可驳回！,Status %s. Cannot reject ,P_YS_CTM_LGM-BE_0001387274
单据%s未提交，无法撤回,Doc %s is not submitted. Cannot withdraw,P_YS_CTM_LGM-BE_0001401536
单据%s已审核，不能进行重复审核！,Doc %s has been approved. Cannot approve again,P_YS_CTM_LGM-BE_0001401542
单据%s审核日期小于单据日期，不能审核！,The approval date of Doc %s is earlier than the Doc date. Cannot approve,P_YS_CTM_LGM-BE_0001401544
单据%s,Doc %s,P_YS_CTM_LGM-BE_0001401553
"单据%s状态[%s],不可重复提交!",Doc %s status [%s]. Cannot submit again,P_YS_CTM_LGM-BE_0001401574
单据%s不在审批中，无法撤回！,Doc %s is not being approved and cannot be withdrawn,P_YS_CTM_LGM-BE_0001401579
单据[%s]状态为%s，审批失败！,The status of Doc [%s] is %s. Approval failed,P_YS_CTM_LGM-BE_1534513277167992844
单据[%s]状态为%s，不可撤销驳回！,The status of Doc [%s] is %s. Cannot cancel rejection,P_YS_CTM_LGM-BE_1534513277167992892
单据[%s]状态为%s，不可重复提交!,The status of Doc [%s] is %s. Cannot submit again.,P_YS_CTM_LGM-BE_1534513277167992967
单据[%s]状态为%s，不可驳回！,The status of Doc [%s] is %s. Cannot reject,P_YS_CTM_LGM-BE_1534513277167993006
数据库中未找到该id：%s，entityName：%s,"Failed to find the ID in the database: %s, entityName: %s",P_YS_CTM_LGM-BE_1534513277167993048
保证金比例(%),Guarantee Fund Ratio (%),P_YS_CTM_LGM-UI_0001396700
资金结算通信异常[%s],Funds Settlement communication exception [%s],P_YS_CTM_STCT-BE_0001315163
年利率不能大于100%,The annual IR cannot be greater than 100%,P_YS_CTM_STCT-BE_0001315198
%s领域未启用！,%s field is not enabled,P_YS_CTM_STCT-BE_0001315251
共：%s张单据；%s张预提成功；%s张预提失败！,"%s document(s) in total, of which %s accrued successfully and %s failed in the accrual.",P_YS_CTM_STCT-BE_1583386302729420874
按比例增减%,Increase/Decrease by Proportion %,P_YS_CTM_STCT-BE_1583386302729420898
共：%s张单据；%s张测算成功；%s张测算失败！,"%s document(s) in total, of which %s estimated successfully and %s failed in the estimation.",P_YS_CTM_STCT-BE_1583386302729421105
共：%s张单据；%s张反预提成功；%s张反预提失败！,"%s document(s) in total, of which %s with accrual canceled successfully and %s failed in the accrual canceling.",P_YS_CTM_STCT-BE_1583386302729421135
查询每日头寸余额异常:%s,Exception querying the daily position balance: %s,P_YS_CTM_STCT-BE_1617842291311378436
同步失败的编制主体是：%s，有在途单据不可修改业务控制方式！,Preparation entity failed in synchronization: %s. Cannot modify the business control method when an in-transit document is available.,P_YS_CTM_STCT-BE_1619016475240562712
同步失败的编制主体是：%s，%s,"Preparation entity failed in synchronization: %s, %s",P_YS_CTM_STCT-BE_1619016475240562718
业务控制生效日期请设置%s年%s月%s日之后的日期！,Please set a date after %s (year) %s (month) %s (date) for the effective date of business control.,P_YS_CTM_STCT-BE_1619016475240562730
编号为：[%s]已经启用！,Number: [%s] has been enabled,P_YS_CTM_STWB-BE_0001496717
共:%d条数据，其中%d条数据更新成功，%d条数据更新失败,"%d pieces of data in total, of which, %d pieces of data updated successfully and %d pieces failed",P_YS_CTM_STWB-BE_0001519985
编号为：[%s]已经停用！,No. [%s] has been disabled,P_YS_CTM_STWB-BE_0001519986
待结算回调出现异常:%s,Exception in pending settlement callback: %s,P_YS_CTM_STWB-BE_1478704497886232742
audit,-,P_YS_CTM_STWB-MD_0001544199
实际结算主体(原值)id,Actual settlement entity (original value) id,P_YS_CTM_STWB-UI_1481672474919174150
单据[%s]状态[%s]，不可以撤回!,Doc [%s] is in [%s] status. Cannot withdraw,P_YS_CTM_TLM-BE_0001611932
单据[%s]为%s状态，无法删除！,Doc [%s] is in %s status. Cannot delete,P_YS_CTM_TLM-BE_0001612044
单据[%s]为[%s]状态，撤回失败！,Doc [%s] is in [%s] status. Failed to withdraw,P_YS_CTM_TLM-BE_0001612077
单据[%s]被锁定，请稍后重试！,Doc [%s] has been locked. Please try again later,P_YS_CTM_TLM-BE_0001612109
融资&投资,Financing & Investment,P_YS_CTM_TLM-BE_0001612911
加减点(BP),Plus/Minus Point (BP),P_YS_CTM_TLM-BE_0001612957
状态%s，不可终止！,Status: %s. Cannot terminate,P_YS_CTM_TLM-BE_1431165197043105918
%s被锁定，请稍后重试,%s is locked. Please try again later,P_YS_CTM_TLM-BE_1431165197043106020
%s[%s]已被引用，不允许停用！,"%s[%s] has been referenced, and cannot be disabled",P_YS_CTM_TLM-BE_1463455852106088538
[%s]不存在,[%s] does not exist,P_YS_CTM_TLM-BE_1463455852106088565
%s[%s]为启用状态，不可删除！,%s: [%s] is in enabled status. Cannot delete,P_YS_CTM_TLM-BE_1463455852106088628
%s不存在，请重新刷新页面！,%s does not exist. Please refresh again,P_YS_CTM_TLM-BE_1463455852106088718
%s[%s]不是最新状态，请稍后重试！,%s: [%s] is not in the latest status. Please try again later,P_YS_CTM_TLM-BE_1463455852106088754
%s[%s]被锁定，请稍后重试！,%s: [%s] has been locked. Please try again,P_YS_CTM_TLM-BE_1463455852106088760
%s不是最新状态，请刷新页面,%s is not in the latest status. Please refresh,P_YS_CTM_TLM-BE_1463455852106088892
%s编码已被占用，请稍后重试,"%s encoding is already in use, please try again later",P_YS_CTM_TLM-BE_1473694358336700427
%s编码重复，请重新输入！,"Duplicate %s code, please re-enter!",P_YS_CTM_TLM-BE_1473694358336700454
%s名称重复，请重新输入！,"Duplicate %s name, please re-enter!",P_YS_CTM_TLM-BE_1473694358336700469
%s名称已被占用，请稍后重试,"%s name is already in use, please try again later",P_YS_CTM_TLM-BE_1473694358336700472
%s不存在，请刷新页面后重试!,"%s does not exist, please refresh the page and try again!",P_YS_CTM_TLM-BE_1475225849421103116
%s[%s]已被引用，不可删除！,%s: [%s] has been used and cannot be deleted,P_YS_CTM_TLM-BE_1478323998143545353
等级%s的起始分值不能大于截止分值,The starting score of grade %s cannot be greater than the ending score.,P_YS_CTM_TLM-BE_1478323998143545365
机构类型[%s]对应的等级设置数据为空,The grade setting data corresponding to institution [%s] is blank.,P_YS_CTM_TLM-BE_1478323998143545398
会计主体[%s]对[%s]已维护黑名单，请勿重复维护！,Accounting entity [%s] has maintained a blacklist for [%s]. Please do not maintain repeatedly,P_YS_CTM_TLM-BE_1524265562507051035
机构类型[%s]不存在启用状态的等级设置,Institution type [%s] does not involve enabled level settings,P_YS_CTM_TLM-BE_1524265562507051038
利随本清&周期计息,Matches Principal Repayment & Periodic Interest-bearing,P_YS_CTM_TLM-FE_1513627744581189647
计划日期大于关联现金流计划的结束日期[yyyy-mm-dd]，不可保存！,The plan date is later than the end date [yyyy-mm-dd] of the associated cash flow plan. Cannot save.,P_YS_CTM_TLM-FE_1614797898253336606
外汇&利率,Foreign Exchange&Interest Rate,P_YS_CTM_TLM-FE_1748102876981362697
本执行单：<%=msg%>，是否确认提交？,<%=msg%>: Confirm to submit this execution Doc?,P_YS_CTM_TLM-FE_1781089711853404160
利率(%),IR (%),P_YS_CTM_TLM-UI_0001614976
加减点（BP）,Plus/Minus Point (BP),P_YS_CTM_TLM-UI_0001614997
转存利率（%）,Redeposit IR (%),P_YS_CTM_TLM-UI_0001615521
协议利率(%),Agreed IR (%),P_YS_CTM_TLM-UI_1419526986714841094
申购单利率（%）,Purchase Requisition IR (%),P_YS_CTM_TLM-UI_1419526986714841115
保证金比例（%）,Guarantee Fund Ratio (%),P_YS_CTM_TLM-UI_1431172807725678592
申购单利率(%),Purchase Requisition IR (%),P_YS_CTM_TLM-UI_1463474689832649220
费用项目(投资)ID,Expense Item (Investment) ID,P_YS_CTM_TLM-UI_1504163552216744495
费用项目(融资)ID,Expense Item (Financing) ID,P_YS_CTM_TLM-UI_1504163552216744501
实际利率（%）（每个预提周期）,Actual IR (%) (Per Accrual Cycle),P_YS_CTM_TLM-UI_1505013448927346695
交割日期：YYYY-MM-DD,Delivery Date: YYYY-MM-DD,P_YS_CTM_TLM-UI_1758668152922177550
交割日期从：YYYY-MM-DD,Delivery Date From: YYYY-MM-DD,P_YS_CTM_TLM-UI_1758668152922177553
到期日期：YYYY-MM-DD,Expiration Date: YYYY-MM-DD,P_YS_CTM_TLM-UI_1758668152922177556
首次重置日期：YYYY-MM-DD,First Reset Date: YYYY-MM-DD,P_YS_CTM_TLM-UI_1758668152922177562
交割日期至：YYYY-MM-DD,Delivery Date To: YYYY-MM-DD,P_YS_CTM_TLM-UI_1758668152922177568
起息日期：YYYY-MM-DD,Interest-bearing Start Date: YYYY-MM-DD,P_YS_CTM_TLM-UI_1758668152922177574
签约日期：YYYY-MM-DD,Signing Date: YYYY-MM-DD,P_YS_CTM_TLM-UI_1758668333310804031
开始日期：YYYY-MM-DD,Start Date: YYYY-MM-DD,P_YS_CTM_TLM-UI_1758668333310804103
换出首次交割日：YYYY-MM-DD,First delivery date of swap-out: YYYY-MM-DD,P_YS_CTM_TLM-UI_1768200274500911117
换入首次交割日：YYYY-MM-DD,First delivery date of swapping in: YYYY-MM-DD,P_YS_CTM_TLM-UI_1768200274500911120
询价日期：YYYY-MM-DD,RFQ Date: YYYY-MM-DD,P_YS_CTM_TLM-UI_1768200274500911126
担保比例%(全业务口径),Guarantee Proportion% (Full Service Aperture),P_YS_CTM_TLM-UI_1800475270087442784
担保比例%(监管口径),Guarantee Proportion% (Regulatory Aperture),P_YS_CTM_TLM-UI_1800475270087442931
换入目标价格(%),Swap-in Target Price(%),P_YS_CTM_TLM-UI_1821591098856308827
换出目标价格(%),Out Target Price(%),P_YS_CTM_TLM-UI_1821591098856308920
监管比例（%）,Regulatory Ratio(%),P_YS_CTM_TLM-UI_1821652912025633253
共[%s]条数据；[%s]条停用成功；[%s]条停用失败,A total of [%s] data items; [%s] successful deactivation; [%s] deactivation failed,P_YS_CTM_TMSP-BE_1474377120697810984
"数据已被引用:应用名称:%s, ,RUI:%s","Data has been referenced: App Name :%s,, RUI:%s",P_YS_CTM_TMSP-BE_1803793742204239910
输入此资金业务对象档案所属的对私(false)/对公(true)的值 (必输),Enter the value (required) of Private (false)/Public (true) for the funds business object file,P_YS_CTM_TMSP-UI_1478827308191056027
年费率（%）,Annual Fee Rate (%),P_YS_CTM_YONBIP-FI-CTMCAM-MD_1694675072959119371
年费率(%),Annual Fee Rate (%),P_YS_CTM_YONBIP-FI-CTMGRM-MD_1706027161148719113
资产负债率(%),Asset/liability ratio(%),P_YS_CTM_YONBIP-FI-CTMGRM-MD_1775773014803611667
可担保比例(%),Warrantable Proportion(%),P_YS_CTM_YONBIP-FI-CTMGRM-MD_1775773014803611682
持股比例(%),Holdings Proportion(%),P_YS_CTM_YONBIP-FI-CTMGRM-MD_1775773014803611688
下浮比例%,Float-down Percentage %,P_YS_CTM_YONBIP-FI-CTMLCM-MD_1513714167884808204
受益人(供应商)id,Beneficiary (Supplier) ID,P_YS_CTM_YONBIP-FI-CTMLCM-MD_1513714167884808360
上浮比例%,Float-up Percentage %,P_YS_CTM_YONBIP-FI-CTMLCM-MD_1513714167884808468
申请人(供应商)id,Applicant (Supplier) ID,P_YS_CTM_YONBIP-FI-CTMLCM-MD_1513714167884808552
申请人(客户)id,Applicant (Customer) ID,P_YS_CTM_YONBIP-FI-CTMLCM-MD_1513714167884808591
受益人(客户)id,Beneficiary (Customer) ID,P_YS_CTM_YONBIP-FI-CTMLCM-MD_1513714167884808816
利率（%）,Interest Rate (%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_0001613625
提前赎回利率（%）,Early Redemption IR (%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_0001613653
基准利率（%）,Benchmark IR (%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_0001613717
展期利率（%）,Extension IR (%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_0001613718
最近一次利率（%）,Last interest rate(%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_0001614027
协议利率（%）,Agreed interest rate(%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_0001614029
实际利率（%）,Actual Interest Rate (%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1505015347310755878
基准利率(%),Benchmark Interest Rate (%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1513762073978339342
承销比例（%）,Consignment Sales Proportion (%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1536850392212045948
预计利率（%）,Predicted Interest Rate (%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1546306114896789520
yes：关联保证金的历史数据（历史数据已提交结束时不释放保证金，未提交的提交后去掉这个标志）,"Yes: Historical data of the associated guarantee fund (the guarantee fund will not be released when the historical data has been submitted, and this flag will be removed after the unsubmitted data is submitted)",P_YS_CTM_YONBIP-FI-CTMTLM-MD_1664458895706292366
允许内部借贷:yes/no,Allow Internal Debit/Credit: Yes/No,P_YS_CTM_YONBIP-FI-CTMTLM-MD_1690257578824564775
预计利率(%),Predicted Interest Rate(%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1757895934982226212
预计换出利率(%),Predicted Exchange-out IR(%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1757895934982226305
掉期利率(%),Swap Interest Rate (%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1757895934982226350
换入利率(%),Exchange-In Interest Rate (%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1757895934982226422
换出利率(%),Foreign Exchange Purchase Interest Rate (%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1757895934982226503
转让利率(%),Transfer Interest Rate (%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1757895934982226614
预计换入利率(%),Predicted Incoming IR(%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1757895934982226641
操作主体上年度末资产负债率(%),Liability/Asset Ratio of Operating Entity at End of Last Year (%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1757895934982226755
换出保底价格(%),Foreign Exchange Purchase Guaranteed Price (%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1757901398175383556
换出市场参考价(%),Foreign Exchange Purchase Market Reference Price (%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1757901398175383562
换入保底价格(%),Swap-in Committed Price(%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1769996008923070546
换入市场参考价(%),Market Reference Price(%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1769996008923070552
承销费率（%）,Underwriting Rate(%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1769996008923070603
封顶利率（%）,Capped Rate(%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1769996008923070654
承销费率(%),Underwriting Rate(%),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1777941612496158742
差点（bps）,Difference (bps),P_YS_CTM_YONBIP-FI-CTMTLM-MD_1800098506976264636
ext,ext,P_YS_CTM_YONBIP-FI-CTMTMSP-MD_1549401557956559082
涨跌幅(BP),Increase/Decrease Range (BP),P_YS_CTM_YONBIP-FI-CTMTMSP-MD_1556050356315095204
点击添加的字段（<{VAR}.当前年>、<{LABEL}.用户>、<{PARAM}.参数名称>）进行动态标题设置。,"Click the added fields (<{VAR}.Current Year>, <{LABEL}.User>, and <{PARAM}.Parameter Name>) to set the dynamic title.",P_YS_DMP_ANALYTIC-FE_1733456583222886432
识别{name}成功,{name} recognized successfully,P_YS_DMP_ANALYTIC-FE_1733456583222886699
您将失去{name}此对象的权限,You will lose the permission to {name} the object,P_YS_DMP_ANALYTIC-FE_1733456583222886825
是否要删除{dbName}数据源,Delete the {dbName} data source?,P_YS_DMP_ANALYTIC-FE_1733456583222887293
成功找到{count}个结果,{count} result(s) found,P_YS_DMP_ANALYTIC-FE_1733456583222888292
值应在{min}与{max}之间，请重新输入,The value should be between {min} and {max}. Please re-enter,P_YS_DMP_ANALYTIC-FE_1733456583222888490
{num}个表无法匹配,{Num} tables cannot be matched,P_YS_DMP_ANALYTIC-FE_1733456583222888691
当前数据源{dbName}已被对象引用，是否修改？,The current data source {dbName} has been referenced by an object. Continue to modify?,P_YS_DMP_ANALYTIC-FE_1733456583222888943
长度应在{min}与{max}之间，请重新输入,The length should be between {min} and {max}. Please re-enter,P_YS_DMP_ANALYTIC-FE_1733456583222889024
暂不支持{name}格式语句执行,It's not supported to execute statement in {name} format,P_YS_DMP_ANALYTIC-FE_1733456583222889177
是否要删除<%=dbName%>数据源,Do you want to delete the <%=dbName%> data source,P_YS_DMP_ANALYTIC-FE_1743799405642776658
